address,bathrooms,country,detailedType_typology,detailedType_subTypology,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,hasParkingSpace,parkingSpaceIncluded,parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts_subtitle,suggestedTexts_title,thumbnail,url,geopoint
duque de pastrana,3,es,flat,,5965,Chamartín,True,,1,False,False,True,False,False,40.4667309,-3.6788611,Madrid,Castilla,False,7,rent,True,True,,3200.0,12.0,8.2726394E7,flat,Madrid,4,False,260.0,good,"Castilla, Madrid",Piso en duque de pastrana,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a2/56/79/603508787.jpg,https://www.idealista.com/inmueble/82726394/,POINT(-3.6788611 40.4667309)
"calle Dos Hermanas, Madrid, 17",2,es,flat,penthouse,724,Centro,True,28-852823,4,False,False,True,False,False,40.410276,-3.7058888,Madrid,Lavapiés-Embajadores,False,30,rent,,,,2000.0,15.0,8.2838135E7,penthouse,Madrid,5,True,137.0,good,"Lavapiés-Embajadores, Madrid","Ático en calle Dos Hermanas, Madrid, 17",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d8/2d/5b/606098543.jpg,https://www.idealista.com/inmueble/82838135/,POINT(-3.7058888 40.410276)
"calle de Alcalá, Madrid, 90",1,es,flat,penthouse,2291,Salamanca,False,,6,False,False,True,False,False,40.4233164,-3.6785468,Madrid,Goya,False,13,rent,,,,1200.0,17.0,8.309874E7,penthouse,Madrid,1,True,70.0,good,"Goya, Madrid","Ático en calle de Alcalá, Madrid, 90",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/8f/2f/27/611538796.jpg,https://www.idealista.com/inmueble/83098740/,POINT(-3.6785468 40.4233164)
"calle Rosa Menéndez, Madrid, 26",1,es,flat,,4925,Tetuán,True,Rosa Menéndez,1,False,False,True,False,False,40.4608846,-3.7073534,Madrid,Berruguete,False,6,rent,,,,780.0,20.0,8.3020845E7,flat,Madrid,1,True,40.0,good,"Berruguete, Madrid","Piso en calle Rosa Menéndez, Madrid, 26",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c2/36/67/611834418.jpg,https://www.idealista.com/inmueble/83020845/,POINT(-3.7073534 40.4608846)
"calle del Prado, 29",1,es,flat,,592,Centro,True,,3,False,False,True,False,False,40.4153679,-3.6973695,Madrid,Huertas-Cortes,False,17,rent,,,,1200.0,24.0,8.3282273E7,flat,Madrid,1,True,50.0,good,"Huertas-Cortes, Madrid","Piso en calle del Prado, 29",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6a/fa/2a/614943206.jpg,https://www.idealista.com/inmueble/83282273/,POINT(-3.6973695 40.4153679)
calle de Claudio Coello,4,es,flat,penthouse,1935,Salamanca,True,994,5,False,False,True,False,False,40.4274814,-3.6862596,Madrid,Castellana,False,56,rent,True,True,,3950.0,16.0,8.1345556E7,penthouse,Madrid,4,False,240.0,good,"Castellana, Madrid",Ático en calle de Claudio Coello,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/04/4d/e6/593203125.jpg,https://www.idealista.com/inmueble/81345556/,POINT(-3.6862596 40.4274814)
barrio Castilla,4,es,flat,,6483,Chamartín,True,A16700,1,False,False,True,False,False,40.4713023,-3.6774186,Madrid,Castilla,False,43,rent,True,True,,3700.0,19.0,8.3423794E7,flat,Madrid,4,False,200.0,good,"Castilla, Madrid",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/83/21/9d/618514376.jpg,https://www.idealista.com/inmueble/83423794/,POINT(-3.6774186 40.4713023)
barrio Recoletos,2,es,flat,penthouse,2051,Salamanca,True,150037,7,False,False,True,True,False,40.4237558,-3.6817995,Madrid,Recoletos,False,24,rent,,,,3300.0,14.0,4.039749E7,penthouse,Madrid,3,False,230.0,good,"Recoletos, Madrid",Ático,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a4/50/7d/279509808.jpg,https://www.idealista.com/inmueble/40397490/,POINT(-3.6817995 40.4237558)
cronos,1,es,flat,duplex,7554,San Blas,True,Cronos Duplex,4,False,False,True,False,False,40.4396137,-3.6201516,Madrid,Simancas,False,13,rent,True,True,,900.0,13.0,8.2617639E7,duplex,Madrid,1,False,70.0,good,"Simancas, Madrid",Dúplex en cronos,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6b/86/48/615135408.jpg,https://www.idealista.com/inmueble/82617639/,POINT(-3.6201516 40.4396137)
"calle de la Ballesta, Madrid",1,es,flat,,679,Centro,False,Richard Telf: 689370919.,-1,False,False,False,False,False,40.4225412,-3.7020117,Madrid,Malasaña-Universidad,False,17,rent,,,,900.0,30.0,8.3294073E7,flat,Madrid,2,False,30.0,good,"Malasaña-Universidad, Madrid","Piso en calle de la Ballesta, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/d6/f8/615157612.jpg,https://www.idealista.com/inmueble/83294073/,POINT(-3.7020117 40.4225412)
calle de Santa Cruz de Marcenado,1,es,flat,,1687,Centro,True,STC,3,False,False,True,False,False,40.4311329,-3.710155,Madrid,Malasaña-Universidad,False,17,rent,,,,1350.0,12.0,8.2388158E7,flat,Madrid,2,False,110.0,good,"Malasaña-Universidad, Madrid",Piso en calle de Santa Cruz de Marcenado,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/c9/6e/597144333.jpg,https://www.idealista.com/inmueble/82388158/,POINT(-3.710155 40.4311329)
